gtyp_MPO.History[2].i_code,gtyp_MPO.History[3].i_code,gtyp_MPO.History[4].i_code,gtyp_MPO.History[5].i_code,gtyp_MPO.History[6].i_code,gtyp_MPO.History[7].i_code,gtyp_MPO.History[8].i_code,gtyp_MPO.History[9].i_code,gtyp_MPO.History[10].i_code,gtyp_MPO.History[11].i_code,gtyp_MPO.History[12].i_code,gtyp_MPO.History[13].i_code,gtyp_MPO.History[14].i_code,gtyp_MPO.History[15].i_code,gtyp_MPO.History[16].i_code,gtyp_MPO.History[17].i_code,gtyp_MPO.History[18].i_code,gtyp_MPO.History[19].i_code,gtyp_MPO.i_PWM_TurnTable,gtyp_MPO.i_PWM_Vacuum,gtyp_MPO.x_Discard_Ready,gtyp_MPO.x_Error,QX_VGR_ValveVacuum_Q8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,True,False,False
300,400,500,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,True
300,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,False,False,False
